"index","route","family","dynamic","redirected","generic_import","classification","runtime_status","file","sha256"
"43","/revenue-command-center/b2c-workflow/intake","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/intake/page.tsx","a980928b2a60eba3e8d6af0ad941f25214005f92c7a6bace5379694e05a4b100"
"44","/revenue-command-center/b2c-workflow/matching","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/matching/page.tsx","11078bbb36ad5b2a63dc981a9eed9c056d3696da4be9b52e16d06a7ac3da5315"
"45","/revenue-command-center/b2c-workflow/new","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/new/page.tsx","f53e5bf3817c0caf0157ea4eff875f404d638f6c2ddf13691fa46d2631ddcf06"
"46","/revenue-command-center/b2c-workflow/onboarding","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/onboarding/page.tsx","99188e853baa5f3f679137a21ef6f0db8905f7a425581c2e496cdfc893929559"
"47","/revenue-command-center/b2c-workflow","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/page.tsx","546f6f17f14be77284be481083a09cafb55bd313c62c3280a6d12bfa0aff8a8c"
"48","/revenue-command-center/b2c-workflow/pipeline","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/pipeline/page.tsx","0e61863c218a626ff8a7dd417d3852cafcc42fe9b0708191f55ac85b38b2a32d"
"49","/revenue-command-center/b2c-workflow/qualification","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/qualification/page.tsx","680256c0ff1a4b73fbe083b3a1fde3ebc12c0ce95826c1319718f03985c10d74"
"50","/revenue-command-center/b2c-workflow/quote","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/quote/page.tsx","22ecc3c9b75df79e15366d1dbd2051eccae269fd344c4d7743e20680160f1ce0"
"51","/revenue-command-center/b2c-workflow/recovery","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/recovery/page.tsx","1457fdb7184880264f181db81fa646775c94a0e36401f4b8393ed3cebfd849f9"
"52","/revenue-command-center/b2c-workflow/retention","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/retention/page.tsx","da68fa447a94046ad298dd22e1dcdefb1d5dff73a9ec239bc13c657690c8a45d"
"53","/revenue-command-center/b2c-workflow/risk","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/risk/page.tsx","4756d37df65f57f44b884edefa9dffc7c4a270716711626f6a11c6c52075ec03"
"54","/revenue-command-center/business-development","business-development","false","false","true","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/business-development/page.tsx","f16b2bc150b8edfae46a32637b1b5745681a08fbc4798a99eb7fdabf0407c0db"
"55","/revenue-command-center/campaigns/[id]/assets","campaigns","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/campaigns/[id]/assets/page.tsx","b65cb3f4e73ba5b1be15e080092ed59f33dcd7391546f04661313ecf82f6fb83"
